year,month,customer_id,deposit_count,purchase_count,withdrawal_count
2020,3,442,2,1,4
2020,4,442,2,2,1
2020,3,134,2,1,2
2020,3,192,3,2,1
2020,2,452,3,1,1
2020,2,176,2,0,1
2020,2,372,2,1,2
2020,2,307,2,0,1
2020,3,307,2,0,1
2020,3,22,3,1,2
2020,4,171,2,0,1
2020,3,289,2,2,1
2020,4,462,2,1,2
2020,3,462,2,1,3
2020,2,462,2,1,3
2020,4,37,4,2,1
2020,3,342,2,0,1
2020,2,371,3,1,1
2020,3,173,2,1,1
2020,3,9,3,0,1
2020,3,302,2,1,1
2020,3,337,2,0,1
2020,4,337,2,1,0
2020,2,131,2,4,1
2020,3,131,5,2,1
2020,3,359,3,0,1
2020,2,178,2,1,1
2020,3,279,2,1,1
2020,2,244,2,1,0
2020,2,278,2,1,2
2020,4,278,5,1,1
2020,2,126,5,3,1
2020,4,245,4,1,1
2020,3,258,2,2,1
2020,4,184,3,1,1
2020,2,184,2,3,1
2020,4,282,4,1,0
2020,3,298,3,1,0
2020,2,298,5,1,2
2020,4,25,2,0,1
2020,3,25,2,1,2
2020,3,226,2,1,3
2020,3,250,3,1,2
2020,3,271,3,4,1
2020,2,271,4,1,0
2020,3,353,3,0,1
2020,2,409,3,1,0
2020,3,409,4,0,1
2020,4,409,2,0,1
2020,4,432,6,1,0
2020,2,432,3,1,2
2020,2,40,2,1,1
2020,3,268,2,2,1
2020,4,303,2,1,0
2020,3,303,2,3,1
2020,3,478,2,0,1
2020,3,280,2,0,1
2020,2,389,3,2,1
2020,4,256,2,2,1
2020,3,256,3,1,1
2020,2,453,3,1,0
2020,3,424,2,2,1
2020,2,210,4,1,5
2020,3,105,3,1,2
2020,3,177,6,3,1
2020,4,313,2,1,0
2020,2,124,4,0,1
2020,3,33,5,2,1
2020,2,33,2,1,1
2020,4,33,2,2,1
2020,2,113,3,0,1
2020,3,113,2,1,2
2020,4,197,4,2,1
2020,3,467,3,3,1
2020,2,7,4,1,0
2020,2,47,3,2,1
2020,3,83,4,2,1
2020,2,469,4,0,1
2020,4,329,3,1,0
2020,2,290,2,1,3
2020,3,333,3,1,0
2020,2,333,2,1,1
2020,3,11,5,4,1
2020,3,347,2,3,1
2020,4,237,2,2,1
2020,2,404,2,2,1
2020,3,404,2,3,1
2020,2,220,2,1,1
2020,2,476,2,4,1
2020,4,476,2,4,1
2020,3,140,2,1,2
2020,2,78,2,2,1
2020,3,232,2,1,1
2020,2,24,3,1,2
2020,3,340,6,1,2
2020,3,459,2,1,0
2020,2,274,4,1,1
2020,3,274,2,1,0
2020,3,103,3,3,1
2020,3,335,3,0,1
2020,2,461,2,0,1
2020,3,281,4,1,3
2020,2,281,3,1,1
2020,2,49,2,0,1
2020,3,448,3,1,2
2020,4,448,4,1,3
2020,3,106,2,1,2
2020,2,106,2,1,1
2020,3,151,2,1,1
2020,3,239,2,1,3
2020,3,423,2,1,0
2020,2,433,2,1,0
2020,3,170,2,1,1
2020,3,186,3,3,1
2020,4,186,2,1,1
2020,3,90,3,0,1
2020,3,395,2,1,1
2020,2,463,2,1,1
2020,2,13,3,0,1
2020,3,125,3,1,1
2020,4,360,2,1,0
2020,2,360,2,1,2
2020,2,370,4,1,0
2020,3,370,2,1,0
2020,2,88,2,1,1
2020,2,196,2,0,1
2020,2,456,4,1,4
2020,3,456,3,2,1
2020,3,51,2,1,0
2020,4,175,2,1,0
2020,3,200,3,1,0
2020,3,201,6,1,2
2020,2,213,2,2,1
2020,4,306,8,1,3
2020,3,306,2,1,1
2020,3,485,2,0,1
2020,2,427,3,0,1
2020,2,222,4,0,1
2020,3,498,3,1,0
2020,4,38,2,1,1
2020,3,102,4,1,3
2020,2,182,2,1,1
2020,2,297,2,1,3
2020,3,324,2,0,1
2020,3,6,5,1,3
2020,2,6,2,1,1
2020,2,27,3,1,2
2020,3,27,2,4,1
2020,3,248,2,1,0
2020,4,489,4,1,2
2020,2,489,3,1,0
2020,4,445,2,1,3
2020,2,445,2,1,1
2020,2,145,3,1,2
2020,3,43,2,0,1
2020,3,444,2,1,1
2020,2,425,3,3,1
2020,2,39,3,1,1
2020,2,233,3,1,0
2020,2,491,3,0,1
2020,3,393,4,1,3
2020,3,115,3,1,0
2020,4,275,2,1,3
2020,2,438,2,1,1
2020,2,349,2,1,1
2020,3,77,2,0,1
2020,3,224,2,1,2
2020,4,214,2,1,0
2020,3,254,5,1,1
